id,student_id,teacher_id,attendance_date,status,created_at
002cc205-e38a-43da-8ef4-0b641874eb78,09b4a179-788b-4285-b8fd-40de0dc90153,a3213925-ef96-4c76-bc43-da6c31b78775,2026-07-27,present,2026-07-27 11:41:32.206154+00
0071bd33-7746-4bb0-b6c9-406a8b524cf1,9536fa54-1bd3-42c4-908e-6ff55c77b7ae,341cd4f7-8e45-4a26-a570-77755a90a42c,2026-07-23,present,2026-07-23 12:32:41.829321+00
009e779e-88c6-4189-9a44-d0e21b638fba,7d1a633e-2123-47b4-8267-ecf262857dc3,8e2b063e-e5bc-4586-960c-b59e1638ab90,2026-08-05,present,2026-08-05 13:51:20.317118+00
00a16c68-a7b8-4327-bbb6-684cb97d4ea6,3daa574d-1f97-45e2-a1e0-eebf7d4ce848,e4a06a4c-e574-4f8a-b392-357a26375f54,2026-07-29,present,2026-07-29 16:36:26.815286+00
00e9c7de-d262-4aaf-8cb9-b8d2913e5d07,b07a3e89-70a3-4c74-a2b5-e530e210d095,7dd81983-f48b-4a2a-a437-48de07ef60ef,2026-07-27,present,2026-07-27 16:32:09.478103+00
010e105b-d6e1-4eba-9d0a-c15cd7a42c82,09b4a179-788b-4285-b8fd-40de0dc90153,a3213925-ef96-4c76-bc43-da6c31b78775,2026-07-25,present,2026-07-25 11:30:59.105668+00
016d1827-61f6-4bba-844c-4c79b6cf8d36,9536fa54-1bd3-42c4-908e-6ff55c77b7ae,341cd4f7-8e45-4a26-a570-77755a90a42c,2026-07-16,present,2026-07-16 12:18:59.838259+00
03607c2a-2fa3-4554-829b-3de94b81b50f,0cc27a7a-a964-4e64-bc58-cdd65142cd7e,3f211ebf-d6d2-460c-8585-4fc08b06cec0,2026-08-04,absent,2026-08-04 11:04:01.454918+00
0365be80-f984-49bc-9036-06cf9308f9a5,cfd7fb59-e915-4e53-b3da-f32846e27d6f,e4a06a4c-e574-4f8a-b392-357a26375f54,2026-08-05,present,2026-08-05 15:27:24.612629+00
03e4ea0a-da82-4b8d-a644-a45ce749da86,13687291-5761-44ff-8c59-f46e6b03b8b9,daf8a90a-37a0-47f5-8702-79c5a3f22a7b,2026-07-16,present,2026-07-16 12:11:22.776867+00
04d266c6-888b-495b-903c-7094b2cfb96d,53991a31-3ba4-4e57-9bdf-8a3236feaf52,3f211ebf-d6d2-460c-8585-4fc08b06cec0,2026-07-29,present,2026-07-29 13:24:15.90363+00
05f58667-115c-425d-bb55-57c55ae764e4,0cc27a7a-a964-4e64-bc58-cdd65142cd7e,3f211ebf-d6d2-460c-8585-4fc08b06cec0,2026-07-30,present,2026-07-30 17:11:58.307074+00
061c2dd7-5917-4671-aca7-bc468728f94f,e95f830f-671d-4658-bba5-771eb0c6f6e6,341cd4f7-8e45-4a26-a570-77755a90a42c,2026-07-24,present,2026-07-24 12:27:23.84399+00
0632fa5f-94e2-431f-8853-5aa95cf91278,9536fa54-1bd3-42c4-908e-6ff55c77b7ae,341cd4f7-8e45-4a26-a570-77755a90a42c,2026-07-27,present,2026-07-27 14:30:35.51507+00
0827c8ca-516e-4a17-9752-a414240da084,39d4794c-a9bb-438d-b5a5-77ef030d0336,8e2b063e-e5bc-4586-960c-b59e1638ab90,2026-08-08,absent,2026-08-08 12:24:28.426904+00
0853b807-ac4a-4fb0-ac61-f5c3e2130f01,09b4a179-788b-4285-b8fd-40de0dc90153,a3213925-ef96-4c76-bc43-da6c31b78775,2026-07-29,present,2026-07-29 11:28:45.939562+00
088b15c9-6f2f-49df-a680-8bb9a2e7bb6d,a1cb1b17-d8a2-4cf0-9bab-bb73c92977df,a3213925-ef96-4c76-bc43-da6c31b78775,2026-08-01,absent,2026-08-01 11:39:27.681234+00
